# fylite/ids-table/1
# dd_version 4.1.1
# ids gyrokinetics_local
# columns path kind ndim units coordinates same_as alternatives
linear/wavevector/eigenmode/linear_weights_rotating_frame/momentum_phi_perpendicular_phi_potential	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/momentum_phi_perpendicular_a_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/momentum_phi_perpendicular_b_field_parallel	F	1	1	species		
non_linear	S	0				
non_linear/binormal_wavevector_norm	F	1	1	1...N		
non_linear/radial_wavevector_norm	F	1	1	1...N		
non_linear/angle_pol	F	1	1	1...N		
non_linear/time_norm	F	1	1	1...N		
non_linear/time_interval_norm	F	1	1	1...2		
non_linear/quasi_linear	I	0				
non_linear/code	S	0				
non_linear/code/parameters	T	0				
non_linear/code/output_flag	I	0				
non_linear/fluxes_5d	S	0				
non_linear/fluxes_5d/particles_phi_potential	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/particles_a_field_parallel	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/particles_b_field_parallel	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/energy_phi_potential	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/energy_a_field_parallel	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/energy_b_field_parallel	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/momentum_phi_parallel_phi_potential	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/momentum_phi_parallel_a_field_parallel	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/momentum_phi_parallel_b_field_parallel	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/momentum_phi_perpendicular_phi_potential	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/momentum_phi_perpendicular_a_field_parallel	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_5d/momentum_phi_perpendicular_b_field_parallel	F	5	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol|non_linear/time_norm		
non_linear/fluxes_4d	S	0				
non_linear/fluxes_4d/particles_phi_potential	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/particles_a_field_parallel	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/particles_b_field_parallel	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/energy_phi_potential	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/energy_a_field_parallel	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/energy_b_field_parallel	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/momentum_phi_parallel_phi_potential	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/momentum_phi_parallel_a_field_parallel	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/momentum_phi_parallel_b_field_parallel	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/momentum_phi_perpendicular_phi_potential	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/momentum_phi_perpendicular_a_field_parallel	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_4d/momentum_phi_perpendicular_b_field_parallel	F	4	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm|non_linear/angle_pol		
non_linear/fluxes_3d	S	0				
non_linear/fluxes_3d/particles_phi_potential	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/particles_a_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/particles_b_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/energy_phi_potential	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/energy_a_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/energy_b_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/momentum_phi_parallel_phi_potential	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/momentum_phi_parallel_a_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/momentum_phi_parallel_b_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/momentum_phi_perpendicular_phi_potential	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/momentum_phi_perpendicular_a_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d/momentum_phi_perpendicular_b_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/radial_wavevector_norm		
non_linear/fluxes_3d_k_x_sum	S	0				
non_linear/fluxes_3d_k_x_sum/particles_phi_potential	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/particles_a_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/particles_b_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/energy_phi_potential	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/energy_a_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/energy_b_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/momentum_phi_parallel_phi_potential	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/momentum_phi_parallel_a_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/momentum_phi_parallel_b_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/momentum_phi_perpendicular_phi_potential	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/momentum_phi_perpendicular_a_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_3d_k_x_sum/momentum_phi_perpendicular_b_field_parallel	F	3	1	species|non_linear/binormal_wavevector_norm|non_linear/time_norm		
non_linear/fluxes_2d_k_x_sum	S	0				
non_linear/fluxes_2d_k_x_sum/particles_phi_potential	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/particles_a_field_parallel	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/particles_b_field_parallel	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/energy_phi_potential	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/energy_a_field_parallel	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/energy_b_field_parallel	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/momentum_phi_parallel_phi_potential	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/momentum_phi_parallel_a_field_parallel	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/momentum_phi_parallel_b_field_parallel	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/momentum_phi_perpendicular_phi_potential	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/momentum_phi_perpendicular_a_field_parallel	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_sum/momentum_phi_perpendicular_b_field_parallel	F	2	1	species|non_linear/binormal_wavevector_norm		
non_linear/fluxes_2d_k_x_k_y_sum	S	0				
non_linear/fluxes_2d_k_x_k_y_sum/particles_phi_potential	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/particles_a_field_parallel	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/particles_b_field_parallel	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/energy_phi_potential	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/energy_a_field_parallel	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/energy_b_field_parallel	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/momentum_phi_parallel_phi_potential	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/momentum_phi_parallel_a_field_parallel	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/momentum_phi_parallel_b_field_parallel	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/momentum_phi_perpendicular_phi_potential	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/momentum_phi_perpendicular_a_field_parallel	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_2d_k_x_k_y_sum/momentum_phi_perpendicular_b_field_parallel	F	2	1	species|non_linear/time_norm		
non_linear/fluxes_1d	S	0				
non_linear/fluxes_1d/particles_phi_potential	F	1	1	species		
non_linear/fluxes_1d/particles_a_field_parallel	F	1	1	species		
non_linear/fluxes_1d/particles_b_field_parallel	F	1	1	species		
non_linear/fluxes_1d/energy_phi_potential	F	1	1	species		
non_linear/fluxes_1d/energy_a_field_parallel	F	1	1	species		
non_linear/fluxes_1d/energy_b_field_parallel	F	1	1	species		
non_linear/fluxes_1d/momentum_phi_parallel_phi_potential	F	1	1	species		
