# fylite/ids-table/1
# dd_version 4.1.1
# ids plasma_profiles
# columns path kind ndim units coordinates same_as alternatives
profiles_1d/neutral/state	A	1		1...N		
profiles_1d/neutral/state/name	T	0				
profiles_1d/neutral/state/electron_configuration	T	0				
profiles_1d/neutral/state/vibrational_level	F	0	e			
profiles_1d/neutral/state/vibrational_mode	T	0				
profiles_1d/neutral/state/neutral_type	S	0				
profiles_1d/neutral/state/neutral_type/name	T	0				
profiles_1d/neutral/state/neutral_type/index	I	0				
profiles_1d/neutral/state/neutral_type/description	T	0				
profiles_1d/neutral/state/temperature	F	1	eV	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/state/density	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/state/density_thermal	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/state/density_fast	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/state/pressure	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/state/pressure_thermal	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/state/pressure_fast_perpendicular	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/state/pressure_fast_parallel	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/t_i_average	F	1	eV	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/t_i_average_fit	S	0	eV			
profiles_1d/t_i_average_fit/measured	F	1	mixed	1...N		
profiles_1d/t_i_average_fit/source	T	1		profiles_1d(itime)/t_i_average_fit/measured		
profiles_1d/t_i_average_fit/time_measurement	F	1	s	profiles_1d(itime)/t_i_average_fit/measured		
profiles_1d/t_i_average_fit/time_measurement_slice_method	S	0				
profiles_1d/t_i_average_fit/time_measurement_slice_method/name	T	0				
profiles_1d/t_i_average_fit/time_measurement_slice_method/index	I	0				
profiles_1d/t_i_average_fit/time_measurement_slice_method/description	T	0				
profiles_1d/t_i_average_fit/time_measurement_width	F	1	s	profiles_1d(itime)/t_i_average_fit/measured		
profiles_1d/t_i_average_fit/local	I	1		profiles_1d(itime)/t_i_average_fit/measured		
profiles_1d/t_i_average_fit/rho_tor_norm	F	1	1	profiles_1d(itime)/t_i_average_fit/measured		
profiles_1d/t_i_average_fit/rho_pol_norm	F	1	1	profiles_1d(itime)/t_i_average_fit/measured		
profiles_1d/t_i_average_fit/weight	F	1	1	profiles_1d(itime)/t_i_average_fit/measured		
profiles_1d/t_i_average_fit/reconstructed	F	1	mixed	profiles_1d(itime)/t_i_average_fit/measured		
